"zip_code","available_from"
"84311","2021-07-04 03:30:05"
"03779","2021-07-12 02:13:25"
"32599","2021-07-09 13:51:02"
"18790","2021-07-03 17:12:24"
"89197","2021-07-25 05:11:22"
"11896","2021-07-27 09:45:54"
"55803","2021-06-30 06:49:15"
"04406","2021-07-03 06:57:15"
"29158","2021-07-10 00:51:39"
"66738","2021-07-27 23:11:38"
"03979","2021-07-25 23:41:21"
"26563","2021-07-25 04:41:39"
"55488","2021-07-09 10:37:23"
"59379","2021-07-27 08:20:08"
"36964","2021-06-29 01:21:46"
"21427","2021-07-19 06:10:22"
"45098","2021-07-12 05:32:05"
"20880","2021-07-09 04:39:00"
"44619","2021-07-03 16:52:29"
"12657","2021-07-17 04:26:19"
"13177","2021-07-16 04:01:57"
"45583","2021-07-28 01:10:59"
"35172","2021-06-30 20:24:53"
"96148","2021-07-21 01:03:36"
"70785","2021-07-04 19:13:27"
"50116","2021-07-02 13:36:00"
"72858","2021-07-12 23:22:07"
"82898","2021-07-16 07:07:36"
"76175","2021-07-08 01:49:25"
"92850","2021-07-02 02:49:44"
"06507","2021-07-09 19:18:43"
"38431","2021-07-02 14:45:20"
"31013","2021-07-03 15:27:59"
"50324","2021-07-12 05:39:14"
"59930","2021-07-16 10:51:06"
"21820","2021-07-16 17:05:00"
"47067","2021-07-08 21:53:05"
"88342","2021-07-11 16:50:35"
"92489","2021-07-02 04:58:52"
"80341","2021-07-07 01:10:56"
"70511","2021-07-10 15:01:00"
"21918","2021-07-21 04:21:48"
"50236","2021-07-11 20:18:12"
"84387","2021-07-25 18:41:05"
"29286","2021-07-14 11:36:29"
"07832","2021-07-09 20:39:06"
"04708","2021-07-14 01:19:14"
"53082","2021-07-11 17:43:55"
"09176","2021-07-08 23:36:15"
"74842","2021-07-14 00:25:03"
"28370","2021-07-22 23:26:16"
"52357","2021-07-21 00:23:33"
"19227","2021-07-11 14:23:56"
"18802","2021-07-10 17:07:59"
"98148","2021-07-25 23:49:57"
"71145","2021-07-11 11:54:27"
"98413","2021-07-27 02:53:00"
"56656","2021-07-27 01:39:23"
"52851","2021-07-16 07:32:52"
"29247","2021-07-05 10:57:34"
"67285","2021-07-22 16:46:44"
"12416","2021-07-01 00:41:09"
"14872","2021-07-06 03:51:51"
"82741","2021-07-06 12:11:02"
"89693","2021-07-19 05:38:36"
"78673","2021-07-01 19:48:23"
"50933","2021-07-17 06:24:36"
"78605","2021-07-21 11:06:32"
"69853","2021-07-10 22:42:36"
"73013","2021-06-29 07:10:03"
"89667","2021-07-04 07:15:13"
"89854","2021-07-24 19:24:25"
"98920","2021-07-11 16:39:54"
"84513","2021-07-15 06:07:28"
"15122","2021-07-12 23:44:37"
"57486","2021-07-06 10:03:30"
"59971","2021-06-28 21:34:20"
"95147","2021-07-11 12:39:42"
"66113","2021-07-07 09:56:09"
"67043","2021-07-03 21:46:08"
"82460","2021-07-13 05:30:17"
"84249","2021-07-23 09:15:41"
"80319","2021-07-08 09:32:22"
"20533","2021-07-16 21:25:57"
"21675","2021-07-24 22:12:48"
"70015","2021-06-28 18:27:27"
"79005","2021-07-14 11:27:38"
"64543","2021-06-29 16:29:00"
"15163","2021-07-16 08:41:40"
"40807","2021-07-10 08:46:24"
"08093","2021-07-10 10:25:37"
"74865","2021-07-02 13:33:00"
"11727","2021-07-22 08:00:40"
"09572","2021-07-24 14:26:20"
"16984","2021-07-04 23:22:41"
"86975","2021-07-21 19:32:07"
"72564","2021-07-06 18:10:41"
"35242","2021-07-24 08:34:33"
"80008","2021-07-19 06:46:58"
"28261","2021-07-24 22:07:00"
